name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Cilium,,https://cilium.io/,logos/6b052d96054bbe311b0429d2267d60b92b1c5e6527e6646c0bf2fc06a55e2f43.svg,https://twitter.com/ciliumproject,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师和架构师。该演讲主要探讨超大规模集群和多集群场景下的网络挑战与解决方案，属于Runtime分类中的容器网络领域。演讲中，Cilium提供高性能eBPF数据平面，Submariner专注于跨集群L3连接，两者共同解决大规模集群的网络扩展问题。,,,,,,,,,,,,Runtime,Cloud Native Network,,,,,,,,,,,,,2021-10-13,2021-10-13,2023-10-11,https://cilium.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/incubating.md#cilium-logos,,,https://cilium.herokuapp.com/,,,2023-02-13,https://github.com/cilium/cilium.io/blob/main/Security-Reports/CiliumFuzzingAudit2022.pdf
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Clusternet,,https://clusternet.io,logos/6d3bc10948133ab516e83603c54bdce1a5e1624e1bedd8797006bcf782cccebd.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2023-03-07,,,https://clusternet.devstats.cncf.io/,,,,https://cloud-native.slack.com/messages/clusternet,,,,
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Clusterpedia,,https://clusterpedia.io,logos/8676ba8db3674d23e7d64e6d66bd72f926c657f9890961c6e20fcf3509d84761.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2022-06-17,,,https://clusterpedia.devstats.cncf.io/,,,,https://cloud-native.slack.com/messages/clusterpedia,,,,
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - CoreDNS,,https://coredns.io/,logos/9f366c2d009f0fc6fa4dd5fbfc4dbb462f3d20a09c534d3e4ced67dcb9b092b1.svg,https://twitter.com/corednsio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Coordination & Service Discovery,,,,,,,,,,,,,2017-02-27,2018-02-26,2019-01-24,https://coredns.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#coredns-logos,https://coredns.io/blog/,https://groups.google.com/forum/#!forum/coredns-discuss,https://cloud-native.slack.com/messages/coredns/,https://www.youtube.com/channel/UCbWRJZxiaQ8twm6sh7UymoQ,,2018-02-03,https://coredns.io/assets/DNS-01-report.pdf
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - etcd,,https://etcd.io/,logos/0d8c081f2c074582caafefe4b135388d3e62c6e64ca1faf2058743c9d784f14f.svg,https://twitter.com/etcdio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Coordination & Service Discovery,,,,,,,,,,,,,2018-12-11,2018-12-11,2020-11-24,https://etcd.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#etcd-logos,,https://groups.google.com/forum/?hl=en#!forum/etcd-dev,http://slack.k8s.io/,,#etcd,2022-03-11,https://github.com/etcd-io/etcd/blob/main/security/FUZZING_AUDIT_2022.PDF
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Istio,,https://istio.io/,logos/2d881599f6faed0a16840a675049bd10ce7096134d93df3f533aaf91972a9689.svg,https://twitter.com/IstioMesh,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Service Mesh,,,,,,,,,,,,,2022-09-30,2022-09-30,2023-07-12,https://istio.devstats.cncf.io/,,https://istio.io/blog/,,https://slack.istio.io/,https://www.youtube.com/c/Istio,,2023-01-30,https://istio.io/latest/blog/2023/ada-logics-security-assessment/Istio%20audit%20report%20-%20ADA%20Logics%20-%202023-01-30%20-%20v1.0.pdf
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Karmada,,https://karmada.io/,logos/57df0a733577a27787ef3a7a8544dc52e4c65a87a10c8d9705083429d599b0a8.svg,https://x.com/karmada_io,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,incubating,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2021-09-14,2023-12-12,,https://karmada.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#karmada-logos,,https://groups.google.com/forum/#!forum/karmada,https://cloud-native.slack.com/messages/karmada,,#karmada,,
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - KEDA,,https://keda.sh/,logos/c87a77d52e0b19e58b98012864dbd5d963a4c4d97c767b15e074d30077104b12.svg,https://twitter.com/kedaorg,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2020-03-12,2021-08-18,2023-08-22,https://keda.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#keda-logos,https://keda.sh/blog,,https://kubernetes.slack.com/archives/CKZJ36A5D,https://www.youtube.com/playlist?list=PLvjRi5R9GQfASIcL4MLTfg2ZOoBdIi5Kq,,2023-02-02,https://github.com/trailofbits/publications/blob/master/reviews/2023-01-keda-securityreview.pdf
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Kubernetes,,https://kubernetes.io/,logos/e0303fdc381c96c1b4461ad1a2437c8f050cfb856fcb8710c9104367ca60f316.svg,https://twitter.com/kubernetesio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,,,面向运维工程师、架构师和技术管理者。该演讲深入探讨了超大规模集群和多集群场景下的编排与管理挑战，属于Orchestration & Management分类。演讲中，Kubernetes作为核心编排平台，与etcd、Karmada、Clusternet等项目共同构建了大规模集群的管理体系。,,,,,,,,,,,,Orchestration & Management,Scheduling & Orchestration,,,,,,,,,,,,,2016-03-10,2016-03-10,2018-03-06,https://k8s.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#kubernetes-logos,http://blog.kubernetes.io/,https://groups.google.com/forum/#!forum/kubernetes-dev,http://slack.k8s.io/,https://www.youtube.com/channel/UCZ2bu0qutTOM0tHYa_jkIwg,,2023-04-19,https://github.com/kubernetes/sig-security/tree/main/sig-security-external-audit/security-audit-2021-2022/findings
01-超大集群还是多集群？如何定位关键瓶颈-徐俊杰（DaoCloud），郭奇峰（DaoCloud）.md - Kueue,,https://kueue.sigs.k8s.io/,logos/2a3e39a10935505a71daee85630f27ff4f6a034e54640619795bdefc2693588b.svg,,,,,,,,,面向架构师和技术管理者。该演讲探讨了超大规模集群和多集群架构的挑战与解决方案，属于云原生应用基础设施分类。演讲中，KubeBrain作为etcd替代方案，与Clusterpedia、Submariner、Cilium等项目共同构建了大规模集群的优化体系。,,,,,,,,,,,,CNAI,General Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
